handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Product,Pastel Personalised Tutu  Dress,"<p>A dress fit for a princess! You're a princess so personalised your own dress!</p><p>&nbsp;</p><p>Our clothes &amp; Accessories allows you to personalise your shopping.&nbsp;</p><p>&nbsp;</p><p>With a personal touch, your shopping becomes more sentimental and valuable. So whether it's a gift, personal wear or a special occasion, it's is all about you!&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>**Please allow up to 4 weeks for this item to be delivered.**</p><p>&nbsp;</p><p>&nbsp;</p>",4cb4a2_d69789cb951a47ea8b072722f9885f77~mv2.jpg;4cb4a2_d4013dc4c67948529a2d6d7617416085~mv2.jpg;4cb4a2_e5d77c9022cf42708b3f294746292fa8~mv2.png,Birthday;Children;Dresses;Kids;Non-Sale;Special Occasions;SUMMER,,Longer Dispatch,18.0,,true,PERCENT,0.0,InStock,0.0,,Dress Colour,COLOR,"rgb(255, 192, 203):pink;#CC9BD0:Lilac",Size,DROP_DOWN,2 years;3 years;4 years;5 years;6 years,Matching bow,DROP_DOWN,no;yes,,,,,,,,,,,,,,,,,,,,,,Name,500,true,Font colour (see colour chart),500,true,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,5.0,,,"rgb(255, 192, 203):pink",,,3 years,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,5.0,,,"#CC9BD0:Lilac",,,6 years,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,,,,"#CC9BD0:Lilac",,,2 years,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,5.0,,,"rgb(255, 192, 203):pink",,,5 years,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,,,,"#CC9BD0:Lilac",,,6 years,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,,,,"#CC9BD0:Lilac",,,3 years,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,5.0,,,"#CC9BD0:Lilac",,,2 years,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,,,,"rgb(255, 192, 203):pink",,,2 years,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,,,,"#CC9BD0:Lilac",,,5 years,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,5.0,,,"#CC9BD0:Lilac",,,3 years,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,,,,"rgb(255, 192, 203):pink",,,6 years,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,5.0,,,"#CC9BD0:Lilac",,,4 years,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,5.0,,,"rgb(255, 192, 203):pink",,,2 years,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,,,,"rgb(255, 192, 203):pink",,,3 years,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,,,,"rgb(255, 192, 203):pink",,,4 years,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,5.0,,,"#CC9BD0:Lilac",,,5 years,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,,,,"#CC9BD0:Lilac",,,4 years,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,5.0,,,"rgb(255, 192, 203):pink",,,4 years,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,,,,"rgb(255, 192, 203):pink",,,5 years,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0430f0e9-0a00-cd51-2929-634a3c0104ec,Variant,,,,,,,,0.0,true,,,InStock,,5.0,,,"rgb(255, 192, 203):pink",,,6 years,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
